,playerID,stint,2B,3B,A,AB,BB,CS,DP,E,GIDP,H,HBP,HR,IBB,InnOuts,PB,PO,R,RBI,SB,SF,SH,SO,WP,ZR,HOF
0,abercda01,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,addybo01,12.0,36.0,13.0,306.0,1231.0,20.0,17.0,21.0,207.0,0.0,341.0,0.0,1.0,0.0,7392.0,0.0,478.0,227.0,167.0,35.0,0.0,0.0,9.0,0.0,0.0,0.0
2,allisar01,19.0,19.0,8.0,47.0,741.0,5.0,3.0,15.0,95.0,4.0,188.0,0.0,1.0,0.0,4779.0,5.0,595.0,106.0,70.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0
3,armstbo01,1.0,2.0,1.0,2.0,49.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,0.0,0.0,345.0,0.0,29.0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,barkeal01,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,barrebi01,5.0,1.0,0.0,1.0,13.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,96.0,4.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,barrofr01,2.0,2.0,1.0,1.0,86.0,0.0,0.0,0.0,7.0,0.0,13.0,0.0,0.0,0.0,453.0,0.0,30.0,13.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,bassjo01,4.0,2.0,10.0,61.0,100.0,3.0,1.0,3.0,32.0,0.0,29.0,0.0,3.0,0.0,654.0,3.0,47.0,19.0,19.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
8,bealsto01,14.0,15.0,16.0,182.0,539.0,8.0,1.0,26.0,83.0,3.0,131.0,0.0,0.0,0.0,3102.0,11.0,291.0,109.0,64.0,6.0,0.0,0.0,11.0,0.0,0.0,0.0
9,beaveed01,4.0,2.0,0.0,36.0,58.0,1.0,0.0,4.0,26.0,0.0,15.0,0.0,0.0,0.0,369.0,0.0,26.0,13.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
10,bellast01,7.0,9.0,3.0,100.0,275.0,11.0,4.0,8.0,90.0,4.0,69.0,0.0,0.0,0.0,1560.0,0.0,98.0,52.0,43.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0
11,berkena01,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
